team,n_win,n_loss,yusag_coeff,seed,conference,finals,champ,loc_type
Northeastern,10.814,9.186,2.16356682016656,6,CAA,0.44300000000000034,0.21600000000000016,N
Elon,9.186,11.814,-6.824795059906059,7,CAA,0.06900000000000005,0.009000000000000001,N
Drexel,7,13,-5.042647280536422,8,CAA,0.057000000000000044,0.014000000000000005,N
Dayton,18,0,17.754750945172518,1,A-10,0.6840000000000005,0.5460000000000004,N
Richmond,14,4,10.59189425837018,2,A-10,0.3890000000000003,0.1220000000000001,N
Rhode Island,13,5,8.448394786509878,3,A-10,0.3040000000000002,0.09900000000000007,N
Saint Louis,12,6,8.252895984115243,4,A-10,0.16500000000000012,0.08700000000000006,N
Duquesne,11,7,5.4367170552671595,5,A-10,0.060000000000000046,0.01800000000000001,N
St. Bonaventure,11,7,3.008885702005765,6,A-10,0.07300000000000005,0.009000000000000001,N
Davidson,10,8,8.430078895596457,7,A-10,0.23400000000000018,0.07100000000000005,N
VCU,8,10,8.185580158208714,8,A-10,0.09100000000000007,0.048000000000000036,N
North Dakota St.,14.812,3.1880000000000006,2.2413889979812076,1,Summit,0.5830000000000004,0.2770000000000002,N
South Dakota St.,13,4,3.2991923741139253,2,Summit,0.45900000000000035,0.2730000000000002,N
Oral Roberts,10.777,7.223000000000001,3.1323967350470987,3,Summit,0.43700000000000033,0.2710000000000002,N
South Dakota,10,7,-1.0464303421639443,4,Summit,0.3050000000000002,0.1290000000000001,N
Omaha,9,8,-5.3413382351218335,5,Summit,0.08200000000000006,0.012000000000000004,N
North Dakota,8.223,9.777,-4.422852076681012,6,Summit,0.07000000000000005,0.025000000000000015,N
Purdue Fort Wayne,7.188,10.812000000000001,-6.6373814829908255,7,Summit,0.03400000000000002,0.007,N
Denver,3,14,-9.375038745345485,8,Summit,0.03000000000000002,0.006,N
Eastern Wash.,16,4,3.2676362639626007,1,Big Sky,0.47800000000000037,0.21700000000000016,N
Northern Colo.,15,5,6.998937645671953,2,Big Sky,0.5360000000000004,0.3800000000000003,N
Montana,14,6,1.8411440473388065,3,Big Sky,0.2670000000000002,0.1400000000000001,N
Portland St.,12,8,-0.20699552252646392,4,Big Sky,0.2640000000000002,0.09600000000000007,N
Northern Ariz.,10,10,-3.320450122812609,5,Big Sky,0.10600000000000008,0.022000000000000013,N
Montana St.,10,10,-4.043853672800177,6,Big Sky,0.05100000000000004,0.017000000000000008,N
Southern Utah,9,11,1.2126686897404664,7,Big Sky,0.1460000000000001,0.08200000000000006,N
Sacramento St.,8,12,-1.361579074163795,8,Big Sky,0.1520000000000001,0.046000000000000034,N
Liberty,13,3,6.6217827395332876,1,A-Sun,0.8430000000000006,0.6560000000000005,N
North Florida,13,3,1.3201394281947163,2,A-Sun,0.6140000000000004,0.22400000000000017,N
Lipscomb,9,7,-5.524614984715782,3,A-Sun,0.1500000000000001,0.02100000000000001,N
Stetson,9,7,-8.41942831800194,4,A-Sun,0.05600000000000004,0.011000000000000003,N
North Ala.,8,8,-6.798468495360439,5,A-Sun,0.06800000000000005,0.024000000000000014,N
Jacksonville,7,9,-5.023757663797416,6,A-Sun,0.16900000000000012,0.04300000000000003,N
FGCU,7,9,-8.569765026522713,7,A-Sun,0.06700000000000005,0.009000000000000001,N
NJIT,6,10,-8.61439381140742,8,A-Sun,0.03300000000000002,0.012000000000000004,N
Michigan St.,14,6,20.28773953557399,1,Big 10,0.47000000000000036,0.3100000000000002,N
Maryland,14,6,16.077190063100765,2,Big 10,0.2870000000000002,0.1340000000000001,N
Wisconsin,14,6,14.796444874457238,3,Big 10,0.2440000000000002,0.09700000000000007,N
Illinois,13,7,13.974368325070246,4,Big 10,0.11700000000000009,0.05300000000000004,N
Ohio St.,11,9,17.122906957945254,5,Big 10,0.2900000000000002,0.1560000000000001,N
Iowa,11,9,14.569884819382912,6,Big 10,0.23800000000000018,0.09200000000000007,N
